Title,Content,Time
CEO direman kes seleweng tender RM300 juta [METROTV],"Difahamkan, suspek ditahan bagi membantu siasatan kes penyelewengan 
pemberian beberapa tender projek pembinaan di Putrajaya bernilai kira-kira 
RM300 juta.",27 Jun 2018
"All 14 types of ₹10 coin valid, legal tender: RBI","Mumbai: All the 14 designs of ₹ 10 coin are valid and legal tender for 
transactions, the Reserve Bank India (RBI) said on Wednesday amid 
reluctance by ...",17 Jan 2018
Kerajaan BN beli tren RM5.7b tanpa tender terbuka,"7 bilion secara terus dari China tanpa tender terbuka. Presiden Kesatuan 
Pekerja-Pekerja Keretapi Tanah Melayu Berhad (KTMB) (KPPKTMB) Abdul Razak 
Md Hassan ...",30 May 2018
Anadarko Announces The Early Results Of Its Cash Tender Offer,"HOUSTON, Dec. 11, 2018 /PRNewswire/ -- Anadarko Petroleum Corporation 
(NYSE: APC) today announced the early results of its previously announced 
cash tender ...",11 Dec 2018
Angola to put $1.5bn port project out to tender - News - GCR,"The government of Angola has said it is about to launch a tender for the 
design, construction and operation of the port of Dande, about 30km north 
of Luanda.",4 Jul 2018
"Ashok Leyland wins tender for defence tracked combat vehicles; makes foray 
into niche segment","Hinduja Group firm Ashok Leyland on Friday said that it has bagged a tender 
in the defence tracked vehicle space, marking its foray into the niche 
segment.",24 Aug 2018
Six consortiums show interest in (AssetsCo) tender for HSR,"NST picture by ASYRAF HAMZAH. KUALA LUMPUR: Consortiums from six different 
countries are keen to participate in the assets company (AssetsCo) tender 
for Kuala ...",11 Apr 2018
Kementerian Pendidikan batal 406 tender perkhidmatan,"Pembatalan tender itu membabitkan perkhidmatan membekal makanan bermasak, 
perkhidmatan kebersihan bangunan dan kawasan serta perkhidmatan kawalan 
keselamatan.",27 Dec 2018
Golden Mile Complex launches en bloc tender while under ...,"... with architectural landmark Golden Mile Complex launching the first 
public tender of its building while being studied for possible conservation.",31 Oct 2018
Tender Greens CEO weighs in on retail and food service,"Tender Greens is a Los Angeles-based fast casual restaurant chain that you 
may not have heard of, but there's a good chance that the chain is hoping 
to come ...",17 Sep 2018
Which salad chain is better: Sweetgreen or Tender Greens?,"Tender Greens, a hugely popular West Coast lunch spot known for its salads, 
has opened its first East Coast location in NYC.",14 Feb 2018
Incheon International Airport releases revised tenders for Lotte ...,"The new five-year contracts start on 6 July by which time Lotte Duty Free 
will have vacated the space. IIAC has revised the tender conditions, 
combining the ...",13 Apr 2018
EDC completes tender offer for planned exit from stock exchange,"Philippines based Energy Development Corp. (EDC) has completed a tender 
offer buying back shares, with a scheduled delisting of the company now set 
by ...",31 Oct 2018
Argentina expects to issue a tender for Copahue geothermal field,"Announced during the recently held GEOLAC geothermal conference, 
Argentina's Ministry of Energy announced planning a tender for the Copahue 
geothermal field ...",24 Jul 2018
Re-Tendering Of MRT Underground Works To Impact Over ...,"The entity undertaking the Mass Rapid Transit 2 (MRT 2) is appealing for 
Putrajaya to relook its decision to re-tender underground construction work 
for the ...",9 Oct 2018
Herbalife Nutrition Announces Extension of Its Tender Offer for ...,"The tender offer is for Herbalife Nutrition's common shares, par value 
$0.001 per share (“shares”), for an aggregate cash purchase price of up to 
$600 ...",27 Apr 2018
Turkey seeks bids for 1.2-GW offshore wind tender,"... three potential areas have been identified for the inaugural offshore 
wind tender, to be held under the Renewable Energy Resource Areas (YEKA) 
model.",21 Jun 2018
India Floats First Tender to Build Solar Projects in Kashmir,"India issued a tender on Tuesday to build 7.5-gigawatt of solar power 
projects in the insurgency hit state of Jammu and Kashmir, state-run Solar 
Energy ...",1 Jan 2019
An analysis of the new geothermal working areas tender rules for Indonesia,"In its latest newsletter, shared yesterday, Indonesian law firm UMBRA has 
released details on new geothermal working areas tender procedures for 
Indonesia. In ...",2 Aug 2018
Tender Greens Gears Up for Growth with New CEO,"Tender Greens, a fast casual that counts Danny Meyer's Union Square 
Hospitality Group as an investor and partner, promoted Denyelle Bruno from 
president to ...",11 Jul 2018
Prices rise in first German tender after rule change,"Prices rise in first German tender after rule change. 20 February 2018 by 
Craig Richard. GERMANY: The energy regulator has granted contracts for 
709MW of wind ...",20 Feb 2018
"KJ 'sekolahkan' Syed Saddiq, dibalas dengan senarai projek ...","Antaranya proses tender dan skandal rasuah RM100 juta - yang kemudiannya 
dipastikan sebagai RM38 juta. ""Sebagai kenyataan media rasmi dari timbalan 
menteri atau ...",2 Aug 2018
Dua tender besar,"Kontrak bidaan berkenaan yang dianggarkan bernilai 'beberapa bilion 
ringgit' dijangka melonjakkan buku tempahan kontraktor seperti Gamuda Bhd, 
IJM Corp Bhd, ...",22 Feb 2018
'Syarikat produksi untuk RTM dikecualikan tender terbuka',"Menteri Komunikasi dan Multimedia, Gobind Singh Deo berkata Radio 
Televisyen Malaysia (RTM) mendapat pengecualian daripada melaksanakan 
proses tender ...",2 Aug 2018
Snap-on Announces Consummation of Tender Offer,"KENOSHA, Wis.--(BUSINESS WIRE)--Snap-on Incorporated (NYSE: SNA) (the 
“Company”) announced today the consummation of the previously announced 
cash tender ...",27 Feb 2018
Govts first solar panel manufacturing tender draws zero response,"Officials in the Solar Energy Corporation of India (SECI) — the nodal 
agency for renewable project tenders said the deadline has been extended 
“at the request ...",28 Sep 2018
Chinese company wins tender to upgrade Ukraine's Black ...,"KIEV, March 14 (Xinhua) -- The Beijing-based China Harbor Engineering 
Company (CHEC) has won the tender for a dredging project at Ukraine's Black 
Sea port ...",14 Mar 2018
"Patut tunggu tender HSR tutup, kata Najib","1 juta kepada Singapura untuk menangguhkan projek selama dua tahun. Ia 
bercanggah dengan kenyataan 3 hari sebelum ini. Tender untuk projek ini 
yang dilaksanakan ...",6 Sep 2018
Reliance Jio cries foul over tender rules of govt-funded telecom projects,"Reliance Jio has alleged that tender norms mandating use of 2G technology 
for government-funded mobile service projects will favour incumbent 
operators and ...",2 Jul 2018
KLIA lifts the lid on 14 tender opportunities in retail revamp,"Malaysia Airports has lifted the lid on detail of 14 retail tenders on 
offer as part of a revamp at Kuala Lumpur International Airport (KLIA).",19 Sep 2018
"EESL to float tender for another 10,000 electric cars: RK Singh","Power and new and renewable energy minister RK Singh said on Wednesday that 
the state-run Energy Efficiency Service Ltd (EESL) will float another 
tender for ...",8 Mar 2018
Egypt changes wheat tender requirements | World-grain.com ...,"CAIRO, EGYPT — Egypt, the world's largest wheat buyer, recently amended its 
tender requirements on imported wheat regarding protein and demurrage.",7 Feb 2018
Gurnet Point Capital Completes Tender Offer for Corium ...,"Gurnet Point Capital Completes Tender Offer for Corium International, 
Transaction Valued in Excess of $500 Million. November 27, 2018 07:09 AM 
Eastern Standard ...",27 Nov 2018
SEC orders Tiger Resort to include Okada case in tender offer ...,"By Arra B. Francia Reporter THE SECURITIES and Exchange Commission (SEC) 
ordered Tiger Resort Asia Limited (TRAL) to file an amended tender offer 
report ...",17 Dec 2018
"Cidco sells tender plots in Kharghar, Kalamboli for Rs 308 crore","NAVI MUMBAI: City and Industrial Development Corporation of Maharashtra 
Limited (Cidco) has earned Rs 308 crore by selling nine tender land plots 
to the ...",8 Aug 2018
Indonesia to open over billion dollar tender for Borneo gas pipelines,"Natuna, between the Malay peninsula and Borneo, is home to several 
gas-producing fields. The tender will be for a Natuna to West Kalimantan 
pipeline worth an ...",9 Jan 2018
HDB launches Pasir Ris Central white site for public tender,"The 99-year leasehold parcel is from the confirmed list of government land 
sales (GLS) sites and is being offered in a dual-envelope public tender.",28 Aug 2018
Turkey opens tender for four wind energy power plants,"The tender will begin with a price ceiling of $0.055 per kilowatt hour, the 
statement showed, adding that the government would purchase energy from 
the ...",7 Nov 2018
"Tigers non-tender McCann, Wilson","Tigers non-tender McCann, Wilson. Contracts offered to six other 
arbitration-eligible players. November 30th, 2018. Jason Beck. Share.",30 Nov 2018
Sassa cancels tender process to find CPS replacement,"The South African Social Security Agency (Sassa) has cancelled the tender 
process to find a replacement for Cash Paymaster Services (CPS), court 
papers show ...",22 May 2018
Setback for techies as BMRCL cancels ORR project tender,"BMRCL had called tenders in February 2018 and it was supposed to have been 
finalised by May. A senior official claimed cancellation of the tenders 
won't ...",17 Dec 2018
Michelin rules out swift return to F1 ahead of tyre tender deadline,"The French tyre company had evaluated a potential return after the FIA 
opened up the tyre tender in July, in order to decide who would become F1's 
official ...",31 Aug 2018
Air Kelantan perjelas dakwaan beri tender sebelum syarikat ...,"Kata Husam, surat tawaran tender projek diberikan kepada Cdah Construction 
Jangka Prestasi JV pada 22 Januari 2015 sedangkan ketika itu syarikat 
berkenaan masih ...",6 Mar 2018
"Diamondbacks do not tender contracts to Chris Owings, Shelby Miller","The Arizona Diamondbacks will not tender a contract offer to longtime 
infielder/outfielder Chris Owings, reports 98.7 FM Arizona's Sports 
Station's John ...",30 Nov 2018
JPJ laksana tender nombor plat dalam talian tahun depan,"Sistem e-bidding itu akan menggalakkan mereka yang berkemampuan untuk 
menyumbang kepada hasil negara. Bernama. Thu May 24 2018. JPJ laksana 
tender nombor ...",24 May 2018
"On the eve of the controversial T-level tender - when, how and why?","The controversial full tender process to find awarding organisations to 
offer the first T-levels qualifications is due to launch on Monday.",31 Aug 2018
Seahawks Defensive End Dion Jordan Signs Restricted Free ...,"Defensive end Dion Jordan signed his restricted free agent tender on 
Thursday, making official his return to the Seahawks for 2018.",12 Apr 2018
New tender boats arrive,"The boats will serve as tenders to visiting cruise ships too large to tie 
up to a dock, shuttling passengers to one of two dock facilities owned by 
the ...",7 Jul 2018
Himachal to float tender for 220 electric buses within fortnight,"New Delhi, Oct 19 () The Himachal Pradesh government plans to float a 
tender for purchasing 220 electric buses within a fortnight for Shimla and 
Dharamsala, ...",19 Oct 2018
"MyHSR, SG HSR call off ongoing international joint tender for ...","KUALA LUMPUR (Sept 5): MyHSR Corp Sdn Bhd, together with its Singapore 
counterpart (SG HSR), will be calling off the ongoing international joint 
tender for ...",5 Sep 2018
"M B Patil got Rs 25 crore kickback in awarding tender, claims B S 
Yeddyurappa","“National Projects Construction Corporation Limited and Amma Constructions 
India Pvt Ltd were the only two companies which participated in the tender 
called ...",23 Mar 2018
Six developers pre-qualified for 25MW Scaling Solar tender ...,"The following six developers have been declared pre-qualified for the 
tender: Acciona Energía SAU; Al Nowais Investments LLC / Aldwych Power 
Holdings Ltd ...",1 Mar 2018
T-levels tender launched by Department for Education,"The highly anticipated and controversial T-levels tender process has now 
been launched by the Department for Education. Awarding organisations can 
bid for ...",3 Sep 2018
Advanced Certificate in Bid and Tender Management (ACBTM ...,"In addition to a detailed exploration of the bidding and tendering 
processes, the course includes sessions on vital soft skills such as 
communication, ...",12 Dec 2018
Greater London Authority's adult education budget tender launched,"The Greater London Authority has become the first devolved area to launch a 
tender for its adult education budget. Its procurement, worth an initial 
£130 ...",29 Oct 2018
SECI Reduces Solar Manufacturing Tender Size From 5 GW ...,"In a significant development, the Solar Energy Corporation of India (SECI) 
has announced that it has reduced the capacity of the manufacturing tender 
which ...",3 Sep 2018
Mirai — tender and funny Japanese anime adventure,"Mirai is a tender and richly funny Japanese anime. What is it with this 
country? They don't need the fatuous dimension-whizzing and CGI hyperbolism 
that is ...",31 Oct 2018
Competing civic tender bids from same IP address,"Chennai: Competing tender bids for Greater Chennai Corporation projects 
worth crores of rupees have been uploaded from the same IP addresses 
raising doubts ...",22 Nov 2018
East Midlands franchise 2018: invitation to tender,"These documents, plus the stakeholder briefing document forms the 
invitation to tender ( ITT ) for the East Midlands franchise that is 
expected to begin in ...",7 Jun 2018
An 8-year-old's design is now a real Fortnite skin – watch his ...,"That skin, the Tender Defender, is now an actual cosmetic in Epic's battle 
royale. Connor's dad went so far as to record his son's reaction to the 
skin's debut ...",29 Nov 2018
Golden Palm Growers initiates tender exercise for Gua ...,"""Grant Thornton will conduct a public tender exercise commencing from June 
30, 2018 for a period of six weeks with a further two weeks to evaluate 
the ...",2 Jul 2018
"South Africa's competition watchdog to prosecute four firms over Eskom 
tender","The Competition Commission said in a statement an investigation had found 
evidence of “price fixing and collusive tendering” by Waco Africa, ...",6 Feb 2018
"Three senior Railway officers booked for ‘rigging tender’ of Rs four-crore 
project","Three top officers of Central Railway's Pune Division have been booked by 
the CBI for allegedly rigging the tender process for a project in 2016.",7 Apr 2018
SABC accused of corruption in row over R185m security tender,"In his application, Mjayeli director Jones Maphalaphathwa said he was at 
all times confident that his firm stood a good chance of winning the tender.",26 Mar 2018
Milan court suspends Serie A TV rights tender after Sky's request,"""The tender by Mediapro... rises so many perplexities, making it necessary 
to verify its legality before presenting any important offers,"" Sky Italia 
added ...",16 Apr 2018
SECI's 1.2 GW ISTS-Connected Wind-Solar Hybrid Tender ...,"The 1.2 GW ISTS-connected wind-solar hybrid power projects (tranche-I) 
tender which was floated by the Solar Energy Corporation of India (SECI)'s 
has been ...",21 Nov 2018
"Telangana assembly elections 2018: Can challenge tender votes if 
unsatisfied, voters told","Telangana assembly elections 2018: Can challenge tender votes if 
unsatisfied, voters told. TNN / Updated: Nov 28, 2018, 10:43 IST. 
FacebookTwitterLinkedin ...",28 Nov 2018
Tender Mercies building $10M facility in West End - Cincinnati ...,"Tender Mercies Inc., a Cincinnati nonprofit that provides permanent housing 
and services to homeless adults with severe mental illness, is building a 
more ...",16 Oct 2018
Trump Administration Keeps Babies and Toddlers in ‘Tender Age’ Shelters,"Trump Administration Keeps Babies and Toddlers in 'Tender Age' Shelters ... 
crossing the border are being held in “tender age” shelters in South Texas.",20 Jun 2018
Tender siap guna MRT laluan lingkaran terima penyertaan ...,"Mass Rapid Transit Corporation Sdn Bhd (MRT Corp) mengumumkan empat 
konsortium telah mengemukakan tender siap guna bersama-sama pembiayaan bagi 
kontrak MRT ...",19 Jan 2018
"Tender sale of up to 3.4 MWe Kalina geothermal power plant technology of 
Unterhaching","The equipment of the now shut down geothermal power plant of Unterhaching 
is now being set up for sale in a tender. Sold as a waste heat power 
plant, ...",5 Oct 2018
Hardee's wants Tinder users to swipe right for chicken tender ...,"on Tinder will be given an offer for a buy-one-get-one-free Hardee's 
five-piece chicken tenders small combo. The promotion runs from Nov. 28 to 
Dec. 8. The "" ...",27 Nov 2018
"Mumbai: After tender mentions ‘beef’, BMC clarifies it meant buffalo meat","The goof-up took place due to wrong translation of the term 'buffalo meat' 
as ""beef"" in the tender notice published in Gujarati and Hindi newspapers, 
a civic ...",12 Oct 2018
Tender for Siburan health clinic project expected to be called ...,"KUCHING: Tender for the long-delayed health clinic project in Siburan is 
expected to be called next month. Puncak Borneo MP Willie Mongin said he 
had ...",14 Aug 2018
Tender Greens Debuts First Boston-Area Restaurant in ...,"Tender Greens in Chestnut Hill is sourcing from the local New England area 
with some of Massachusetts' best family-owned purveyors. Tender Greens, the 
Los ...",10 Apr 2018
"Purvanchal Expressway project: Tender process completed, gets Cabinet 
approval","Purvanchal Expressway project: Tender process completed, gets Cabinet 
approval. The Cabinet also approved the proposal to provide free land to 
construction ...",11 Jul 2018
Vineyard Wind wins Massachusetts offshore tender with ...,"... utility group Avangrid and fund manager Copenhagen Infrastructure 
Partners, emerged as the winner in Massachusetts' landmark first offshore 
wind tender, ...",24 May 2018
Petrobras Announces Commencement Of Cash Tender Offers,"Holders who tender Notes at or prior to the applicable Early Tender 
Deadline may specify a Bid Price, which must be within the Acceptable Bid 
Price Range.",6 Dec 2018
Prices fall in French onshore tender,"FRANCE: Twenty-two projects totaling 508.4MW and with an average price of 
€65.40/MWh have been awarded in round one of France's 3GW onshore wind 
tender.",1 Mar 2018
HDB closer to solar power target after awarding latest tender ...,"Work will begin in the current third quarter, said the Housing Board on 
Sunday (June 24) when it announced that the tender for the job had been won 
by a ...",24 Jun 2018
"No tender process for $444m Great Barrier Reef grant, Senate hearing told","Department secretary Finn Pratt told the hearing there had been no tender 
or grant application process for the funding, which the foundation has 
described ...",21 May 2018
Examining A's non-tender candidates: Cory Gearrin not huge ...,"riday marks the deadline for MLB teams to tender contracts to 
arbitration-eligible players for next season. Those who are not offered a 
contract are ...",29 Nov 2018
The Tender Murderer – insidetime & insideinformation,"The Tender Murderer. Wendy Perriam · 30th January 2018 · 0 · *Jailbreak. 
Review by: Clare Barstow. Independently published / ISBN-13: 978-1549775772 
/ Price ...",30 Jan 2018
"Copter service to Kedarnath: Govt floats fresh tender, 12 days before 
portals open","The Uttarakhand has once again floated tenders inviting bids from aviation 
firms for helicopter services to Kedarnath shrine. The tender, issued on 
April 17 ...",18 Apr 2018
Operations - A tender course of action,"A tender course of action. We look at the relative merits of the RYA's 
Tender Operator Course beyond Power Boat Level 2…",30 Aug 2018
"Cryptocurrency not legal tender in India, but blockchain gets new life in 
Budget 2018","The finance minister in his Union Budget 2018 speech said, “The government 
does not consider cryptocurrencies legal tender or coin and will take 
all ...",5 Feb 2018
Soal Jawab: Tawar projek secara tender terbuka,"Soalan (S): Adakah kementerian akan mewajibkan tender terbuka ke atas semua 
projek yang akan dilaksanakan selepas ini? Jawapan (J): Kementerian Kerja 
Raya ...",2 Sep 2018
[EXCLUSIVE] 'Works Ministry always uses open-tender system',"All government projects will be made through open tender and are subject to 
the ministry's regulations to ensure transparency. Q: Is there any plan to 
review ...",2 Sep 2018
TM: Kontrak pada firma Mokhzani melalui tender terbuka ...,"TM berkata tender terbuka untuk kontrak Rakan Unifi itu bermula pada bulan 
Januari, dengan proses penilaian tamat pada bulan April.",1 Aug 2018
Engie wins Senegal's 60 MW PV tender with bids under ...,"Engie wins Senegal's 60 MW PV tender with bids under €0.040/kWh. The French 
energy giant will now build a solar PV power plant in Tauba, central 
Senegal, which ...",6 Apr 2018
Tamil Nadu's TANGEDCO Announces New Tender for 500 ...,"The Tamil Nadu Generation and Distribution Corporation (TANGEDCO) has 
issued a tender for 500 MW of wind power projects in the state.",28 Nov 2018
Tender for work on new SMK Sebuyau out this year,"SEBUYAU: Tender for the construction of a new school — SMK Sebuyau — will 
be issued this year. Assistant Minister of Coastal Road Datuk Julaihi 
Narawi said ...",28 Mar 2018
"Rs 13,000 cr tenders withdrawn and re-issued to promote ‘made in India’ 
goods","Rs 13,000 cr tenders withdrawn and re-issued to promote 'made in India' 
goods. The move assumes significance as in March Prime Minister Narendra 
Modi expressed ...",24 May 2018
DRealty partners China firm to tender for JB-S'pore rail project,"PETALING JAYA: Damansara Realty Bhd (DRealty) is teaming up with China 
State Construction Engineering (M) Sdn Bhd (CSCEM) to tender for the 4km 
Johor ...",9 May 2018
NTPC Amends Tender for Wind-Solar Hybrid Project at ...,"The National Thermal Power Corporation (NTPC) has amended the tender for 
the development of wind-solar hybrid power project at NTPC Kudgi, Karnataka.",17 Dec 2018
Former Norwegian lighthouse tender visits and is open to the ...,"A former Norwegian lighthouse tender, which is now a museum ship, arrived 
in Kirkwall today, and will be open to the public at times during the 
stay, ...",27 Jun 2018
"Govt plans Rs10,000 crore tender to set up more rural Wi-Fi hotspots","New Delhi: The Department of Telecommunications (DoT) will soon issue a 
revised tender, inviting bidders to set up more public Wi-Fi hotspots in 
every gram ...",21 Jun 2018
Broncos place 2nd-round tender on Shaquil Barrett,"Barrett (6-2, 250 pounds) joined the Broncos as an undrafted rookie out of 
Colorado State following the 2014 NFL draft. The second-round tender will 
pay him ...",12 Mar 2018
Request for proposal (RFP) is not open tender — Ahmad Hilmy and Lim Mah Hui,"Prime Minister Tun Dr Mahathir Mohamad and Finance Minister Lim Guan Eng 
have reiterated that projects not based on an open competitive tender 
system are ...",29 Jul 2018
Malaysia to announce 500MW LSS 3 solar tender in January,"The third round of Malaysia's Large-Scale Solar (LSS) tenders will be for 
another 500MW of capacity and details will be annonuced in January, 
according to ...",19 Nov 2018
"Tender: Structural rehabilitation of Olkaria II geothermal power plant, 
KenGen, Kenya","Tender: Structural rehabilitation of Olkaria II geothermal power plant, 
KenGen, Kenya ... The Kenya Electricity Generating Company (KenGen) is 
inviting bids for ...",13 Jun 2018
"Oversubscribed by 4 Times, Odisha's 200 MW Solar Tender ...","The Grid Corporation of Odisha (GRIDCO)'s 200 MW grid-connected solar 
photovoltaic (PV) project tender has been oversubscribed by almost four 
times.",6 Jul 2018
Colts' Jeremy Vujnovich signed ERFA tender,"Indianapolis Colts offensive lineman Jeremy Vujnovich signed his exclusive 
rights tender, the team announced Wednesday. The Colts tendered the four ...",4 Apr 2018
Ministry selects winners of rental power tender,"By KYAW YE LYNN | FRONTIER. YANGON – The Ministry of Electricity and Energy 
has selected the winners of a tender for rental power projects in 
Mandalay ...",14 May 2018
Texans tender lineman Greg Mancz,"Meanwhile, the Texans didn't submit qualifying tenders for linebacker Brian 
Peters, linebacker Ben Heeney and defensive lineman Angelo Blackson. They 
are now ...",14 Mar 2018
SECI Issues Tender for 3 MW of Solar Projects with Battery ...,"The Solar Energy Corporation of India (SECI) has issued a tender for the 
development of two 1.5 MW (AC) solar power projects with Battery Energy 
Storage ...",11 Jul 2018
Here’s what you can cook with tender tamarind leaves,"Year after year, I spot tender leaves of tamarind being sold on vegetable 
carts in markets. But never did I bother to enquire about its use in 
day-to-day ...",27 Apr 2018
'Payung' kartel jerut peluang kontraktor bumiputera,"Orang sebegitulah yang mengumpulkan sehingga lebih 50 syarikat dalam kartel 
tersediri dan bersedia untuk mengaut hampir semua tender kerajaan.",2 Nov 2018
"Tender to operate Singapore Expo launched, Singapore ...","A public tender was launched on Dec 6. The 20-year contract for the 
facility has been held by Singex Venues since 1999 but will expire at the 
end of this ...",2 Jan 2018
Bahrain Airport Company issues tender for call centre ...,"It is the latest in a series of tenders for airport's new terminal. 
Decisions on a range of other commercial concessions are due soon. The 
planned Passenger ...",20 Mar 2018
Uttar Pradesh Comes up with a 550 MW Solar Tender,"A UPNEDA official confirmed the issue of the solar tender to Mercom, 
adding, “In this 550 MW tender, 500 MW will be bought by Uttar Pradesh 
Power ...",15 Oct 2018
ACWA wins Saudi Arabia's 300 MW solar tender – pv ...,"ACWA wins Saudi Arabia's 300 MW solar tender. The Saudi energy company 
submitted the second lowest bid, an LCOE of 0.08872 SAR ($0.0236) per kWh, 
while the ...",6 Feb 2018
EESL Scraps its Tender for 10000 EVs Due to Non-Availability ...,"The reason this tender had to be scrapped was because it had specifications 
for EVs in luxury bracket and the Bharat EV Charger is not compatible 
with ...",13 Jul 2018
Yogurt marinades make meat perfectly tender—here's why,"It makes incredibly tender and flavorful chicken kebabs that you soak in a 
yogurt-based marinade before cooking. ""chicken. Chicken dinner. 
Yogurt-marinated meat ...",23 Feb 2018
BridgeClimb founder in shock tender loss | MyBusiness,"In a shock loss, the founder of the iconic Sydney Harbour Bridge climbs has 
lost a government tender to continue operating the attraction, ...",18 Jun 2018
Israel to renegotiate Dead Sea mining tender,"Israel to renegotiate Dead Sea mining tender ... The Israeli Government is 
set to re-negotiate an agreement with mineral extraction company Israel 
Chemicals by ...",13 Aug 2018
CDFG and Sunrise triumph in duty free tender at Shanghai ...,"CDFG and Sunrise triumph in duty free tender at Shanghai Hongqiao and 
Pudong airports. by Martin Moodie, The Moodie Davitt Report Asia Pacific 
martin@ ...",20 Jul 2018
Questions over tender for Purana Qila upgrade,"A tender floated by the National Buildings Construction Corporation (NBCC) 
for the redevelopment of the Purana Qila area has become a bone of 
contention ...",28 Jan 2018
