Title,Content,Date
"Perodua and Petronas sign RM355 million Lubricant Deal - Auto News - 
 Carlist.my","The deal states that Petronas will supply 17 million litres of engine oil 
 to Perodua, which is a 21% increase over the previous contract. The 
 contract is a ...",1 Jun 2016
FEEDing recovery in Asia Pacific,"Operators such as Chevron, CNOOC, Petronas, Shell and Woodside, to name a 
 few, have gone back to the drawing board, to redesign offshore structures 
 for ...",1 Jun 2016
Petronas sells 10pc in Bintulu LNG plant to JX Nippon Oil,"KUALA LUMPUR: Petroliam Nasional Bhd (Petronas) and JX Nippon Oil & Energy 
 (JX NOE) have signed an agreement for the sale and purchase of equity in 
 Petronas ...",3 Jun 2016
First gas turbine for Petronas' Pengerang power plant arrives,"A total of four SGT5-8000H gas turbines will be installed at Petroliam 
 Nasional Bhd's (Petronas) Pengerang cogeneration power plant. KUALA LUMPUR: 
 The first of ...",7 Jun 2016
PFLNG SATU reaches Kanowit gas field offshore Malaysia,"Petronas' first floating LNG vessel has reached the Kanowit gas field 
 offshore Malaysia, the company posted on social media. Jun 8th, 2016.",8 Jun 2016
Mr Paintman' Wong brightens up premises during Ramadan,"... while green vividly represents brands like Petronas, and blue coloured 
 buildings in Malaysia very likely belong to the police,” said Wong, ...",8 Jun 2016
Uccio: La nostra amicizia è stata un po' la fortuna mia e di Vale,"Seconda fila tutta Ducati, con Zarco e Miller. Rossi, 18esimo. Chi vincerà? 
 MotoGP. 15 ago 2021. Ecco perché Petronas non ha ancora firmato nessun 
 pilota ...",9 Jun 2016
40 SPM high achievers get Petronas scholarships,"KOTA KINABALU: Forty Sabahan school leavers who excelled in their Sijil 
 Pelajaran Malaysia (SPM) were yesterday awarded with the Petronas 
 scholarships under ...",10 Jun 2016
"Mahathir Mohamad on Malaysian Prime Minister Najib Razak: 'He Should Step 
 Down'","Malaysia's former Prime Minister Mahathir Mohamad at his office in Petronas 
 Towers in Kuala Lumpur on Oct. 22, 2015. Olivia Harris—Reuters.",10 Jun 2016
World's First Floating LNG Plant Misses the Boat on LNG Pricing,"Photo credit: Petronas. By Dan Murtaugh and James Paton. (Bloomberg) — It's 
 longer than three soccer fields, heavier than two aircraft carriers and 
 powerful ...",10 Jun 2016
Shell's first TLP set for Malikai field duty,"The platform was designed and fabricated by Malaysians. Shell holds a 35 
 per cent stake in the Malikai project, with Conocophillips and Petronas 
 Carigali owning ...",12 Jun 2016
Shell Sees Malikai Project in Malaysia as Boosting Deepwater ...,"Present at the Malikai TLP sailaway ceremony, held at MMHE West yard in 
 Pasir Gudang, were Petroliam Nasional Bhd (PETRONAS) President and Group 
 CEO Wan ...",13 Jun 2016
Malaysian Kasma Daniel to train under Valentino Rossi ...,"We last saw Kasma racing in the first round of the 2016 Petronas Cub Prix 
 in Serdang last March, where he won in his class. Last year, he finished 
 9th in ...",13 Jun 2016
2016 Canadian Grand Prix: A tale of 3 starts and 2 stops,"Lewis Hamilton sat on pole in the Mercedes-AMG Petronas, Sebastian Vettel 
 in a Ferrari behind. That order changed as soon as the lights went out.",13 Jun 2016
Petronas upstream operations in S'wak undergoing restructuring,"He said, in view of this, Petronas Carigali Sarawak operations had been 
 split into two entities, namely Sarawak Oil Operations in Miri and Sarawak 
 Gas operation ...",14 Jun 2016
Proton NE01 2.0L turbo to go on the Perdana in 2017 ...,"Up to then, the only Petronas-developed engine that was revealed was the 
 normally-aspirated E01e inline-four, 16-valve DOHC engine with variable 
 valve timing, ...",14 Jun 2016
Hard tyres confirmed for Malaysia,"Pirelli have revealed the three tyre compounds that will be made available 
 for October's 2016 Formula 1 Petronas Malaysia Grand Prix, with the hard 
 tyre being ...",16 Jun 2016
MERCEDES-AMG PETRONAS Memorabilia Is a Shortcut To ...,"MERCEDES-AMG PETRONAS Memorabilia Is a Shortcut To Certain Divorce. 17 Jun 
 2016, 12:22 UTC · By Vlad Mitrache.",17 Jun 2016
Penetapan waktu solat ikut ketinggian tempat,"... Ukur dan Pemetaan serta Universiti Malaya melakukan kajian waktu solat 
 bangunan tinggi seawal 2013 di Menara Kuala Lumpur dan Menara Berkembar 
 Petronas.",17 Jun 2016
Niklas Ajo: Drei Jobs und GP-Karriere beendet,"Moto3 2021 Red Bull Ring - Petronas SRT Highlights · Petronas SRT. 10.8K 
 subscribers. 2021 AustriaGP Highlights: Moto3. Info. Shopping. Tap to 
 unmute ...",18 Jun 2016
Malaysia in talks to move startup of B10 biodiesel program to July,"State-owned Petronas, Royal Dutch Shell, Chevron, Petron and BHP are 
 responsible for blending diesel with PME at 35 blending depots throughout 
 Malaysia, ...",19 Jun 2016
