Title,Content,Time
SoftBank Group Announces End of WeWork Tender Offer ...,"When the tender offer was negotiated in October 2019, SoftBank, WeWork, 
WeWork's Special Committee, Adam Neumann and SoftBank Vision Fund agreed 
that SoftBank ...",2 Apr 2020
Cainiao launches open tender for 2021 logistics services – but ...,"Cainiao Smart Logistics Network, the logistics arm of Chinese-e-commerce 
platform Alibaba, today launched an open tender for logistics services for 
next ...",12 Oct 2020
"MLB non-tender deadline: Cubs cut Kyle Schwarber, keep Kris Bryant; Braves, 
Rockies make surprising moves","Wednesday marked an important date on MLB's offseason calendar: It was the 
non-tender deadline, or the day teams must tender their pre-arbitration 
and ...",3 Dec 2020
Itochu launching $5.4 billion tender offer for rest of FamilyMart,"TOKYO (Reuters) - Japanese trading house Itochu Corp 8001.T on Wednesday 
announced a 581 billion yen ($5.4 billion) tender offer for the rest of 
convenience ...",7 Jul 2020
KVDT 2 tender to be reopened,"KUALA LUMPUR: The cabinet has agreed to reopen the tender for the Klang 
Valley Double Tracking 2 (KVDT2) project. Transport Minister Datuk Seri Dr 
Wee Ka ...",28 Aug 2020
Exclusive: TIM excludes Huawei from 5G core equipment tender,"MI excluded China's Huawei Technologies from a tender it launched this 
month for 5G equipment for the core network it is preparing to build in 
Italy and ...",9 Jul 2020
WeWork co-founder Neumann sues SoftBank over failed tender offer,"The tender offer was part of a $9.6 billion rescue financing package that 
SoftBank agreed with WeWork in October and gave it control of the company.",4 May 2020
Newell Brands Announces Early Results of Its Tender Offer,"(2) The Total Consideration payable for each $1,000 principal amount of 
Notes validly tendered at or prior to the Early Tender Deadline and 
accepted for ...",25 Nov 2020
Turkey holds first tender related to Istanbul canal project,"ISTANBUL (Reuters) - Turkey held its first tender on Thursday to prepare to 
build a huge canal on the edge of Istanbul, a Transport Ministry spokesman 
said, ...",26 Mar 2020
Dak Prescott signs franchise tag tender with Cowboys,"Dak Prescott put pen to paper on his exclusive franchise tag. The Dallas 
Cowboys quarterback signed the one-year tender worth $31.4 million on 
Monday, ...",22 Jun 2020
Vattenfall drops Dutch offshore wind tender plans over Covid ...,"Vattenfall has dropped plans to enter the upcoming 700MW Hollandse Kust 
North offshore wind tender in the Netherlands citing “uncertainties” caused 
by the ...",31 Mar 2020
WeWork sues SoftBank for dropping $3 billion tender offer,"(Reuters) - A WeWork board committee that negotiated a $3 billion tender 
offer with SoftBank Group sued the Japanese conglomerate on Tuesday for 
abandoning ...",7 Apr 2020
China's Sinopec awards 10-year gas tender to Qatargas: sources,"SINGAPORE (Reuters) - China's Sinopec Corp has awarded a 10-year tender to 
buy 1 million tonnes of liquefied natural gas annually from Qatargas, ...",4 Sep 2020
CVS Health Corporation Announces Cash Tender Offers for ...,"If Holders tender more Notes in the Tender Offers than they expect to be 
accepted for purchase by CVS Health based on the Aggregate Maximum Amount 
and/or the ...",7 Dec 2020
Xerox Starts Tender Offer in Hostile Takeover Bid for HP,"Xerox Holdings Corp. has started a tender offer for all outstanding shares 
of HP Inc., escalating a battle for control of the personal computer giant 
that ...",2 Mar 2020
RPT-Sunrise shareholders accept Liberty Global tender offer,"ZURICH, Oct 9 (Reuters) - Liberty Global cleared a key hurdle in its 
all-cash 6.8 billion Swiss franc ($7.43 billion) tender for Switzerland's 
Sunrise ...",8 Oct 2020
Petrobras Launches Tender for Buzios FPSO Trio,"Brazilian state-controlled oil company Petrobras said on Friday it has 
approved the start of a tender to build three new floating platforms, known 
as FPSOs, ...",24 Jul 2020
"The TJX Companies, Inc. Announces Early Tender Results ...","Announces Early Tender Results and Upsize of Its Cash Tender Offers for 
Certain Debt Securities. December 02, 2020 09:22 PM Eastern Standard Time. 
FRAMINGHAM, ...",2 Dec 2020
KKR Acquires Stake in First Gen through Voluntary Tender Offer,"MANILA, Philippines--(BUSINESS WIRE)--Global investment firm KKR today 
announced that, following the completion of the voluntary tender offer 
period by ...",28 Jun 2020
Double track project for open tender,"PETALING JAYA: The Cabinet has agreed to convert the ongoing Klang Valley 
Double Tracking Phase 2 (KVDT2) rehabilitation project to an open 
tender, ...",29 Aug 2020
"New York Giants place rare UFA tender on OLB Markus Golden, source says","The ""May 5"" tender still allows Golden to negotiate a deal with other 
teams. The Giants would not receive any compensation if he signed 
elsewhere, but Golden ...",27 Apr 2020
"George Clooney Directing, Producing ‘The Tender Bar’ for Amazon","William Monahan, who won an Academy Award for Best Adapted Screenplay for 
“The Departed,” has written the script for “The Tender Bar.” An adaptation 
of ...",24 Jul 2020
"Community Health Systems, Inc. Announces Commencement ...","Holders validly tendering, and not validly withdrawing, 2023 Notes after 
the Early Tender Deadline and on or before the Expiration Time will be 
eligible to ...",11 Dec 2020
U-turn: Saifuddin cancels 5G spectrum allocation that was ...,"The statement was issued after reports of the 5G spectrum being awarded 
without an open tender went viral. The highly sought-after 5G 
telecommunications ...",3 Jun 2020
Altice USA Announces Commencement of Tender Offer to ...,"(NYSE: ATUS) (“Altice USA” or the “Company”) announced today that it has 
commenced a modified “Dutch auction” tender offer to repurchase up to $2.5 
billion of ...",23 Nov 2020
Herbalife Nutrition Announces Preliminary Results of Self ...,"Because the tender offer is oversubscribed, the Company expects to purchase 
only a prorated portion of the common shares properly tendered by each 
tendering ...",12 Aug 2020
"MLB non-tender deadline: Each team's biggest decision, including Yankees' 
Gary Sanchez","It is the deadline for teams to tender their pre-arbitration and 
arbitration-eligible players a contract offer for next season. They don't 
have to sign their ...",2 Dec 2020
RB Kenyan Drake signs $8.4M tender with Cardinals,"The tender is worth $8,483,000 for the 2020 season. Drake, 26, was traded 
to the Cardinals from the Miami Dolphins on Oct. 28 and played in his first 
game ...",21 Mar 2020
Tender row casts shadow on ‘Nirbhaya Safe City Project’ in Bengaluru,"The continuing blame game between two Karnataka IPS officers has delayed 
government action on the tendering process for the 'Nirbhaya Safe City' 
Bengaluru ...",28 Dec 2020
Newell Brands Announces Tender Offer for $300 Million of ...,"The “Maximum Tender Amount” is an aggregate principal amount equal to $300 
million. The Offer is intended to allow the Company to reduce the amount 
and cost of ...",10 Nov 2020
Avolon Announces Debt Tender Offers,"The actual Tender Offer Yield used to determine the actual Total 
Consideration for each Series will be calculated on the Price Determination 
Date (as ...",16 Nov 2020
"The TJX Companies, Inc. Announces the Pricing Terms of Its ...","Announces the Pricing Terms of Its Cash Tender Offers for Certain Debt 
Securities. December 03, 2020 03:26 PM Eastern Standard Time. FRAMINGHAM, 
Mass.--( ...",3 Dec 2020
"'Re-tendering of KVDT2 unjustified, will bring misery to commuters'","Last Friday, Transport Minister Datuk Seri Ir Wee Ka Siong announced that 
the KVDT2 project will be reopened for tender as it is overpriced.",31 Aug 2020
Procter & Gamble Announces Early Results of Its Debt Tender ...,"In addition, P&G announced today that it has amended the terms of the 
tender offer to increase the maximum aggregate purchase price, excluding 
accrued interest, ...",26 Oct 2020
Australia wins with Saudi barley tender,"AUSTRALIA was the big winner in the first barley tender for 2021 delivery 
into Saudi Arabia, with the Middle East country announcing over the weekend 
that ...",20 Nov 2020
"Flowserve Corporation Announces Expiration and Results of Tender Offer for 
Its 1.250% Senior Notes Due 2022","Flowserve Corporation Announces Expiration and Results of Tender Offer for 
Its 1.250% Senior Notes Due 2022. September 22, 2020 ·7 min read. In ...",22 Sep 2020
"Ben Affleck To Star In George Clooney-Directed ‘The Tender Bar’ Adaptation 
For Amazon","Sources tell Deadline that Affleck is in negotiations to star in Amazon 
Studios' adaptation of The Tender Bar with Clooney helming. The two 
A-listers have ...",9 Dec 2020
Aimmune shareholders accept $2 billion Nestle tender offer,"Including shares it already held, Nestle controlled around 84% of the 
outstanding shares as of the $34.50 per share offer's expiration date. “The 
minimum tender ...",12 Oct 2020
"Rockies non-tender Dahl, Wolters, González","Wednesday at 6 PM MT was the deadline for teams to tender contracts to 
players for the 2021 season. Dahl, González and Wolters were all eligible 
for ...",2 Dec 2020
Indian Railways floats fresh tender for 44 Vande Bharat train ...,"The Integral Coach Factory (ICF) in Chennai has floated the tender and the 
date of opening of tenders will be November 11. A pre-bid meeting in this 
regard is ...",21 Sep 2020
Calpine Corporation Announces Early Results of Cash Tender ...,"Calpine Corporation Announces Early Results of Cash Tender Offer for its 
5.250% Senior Secured Notes due 2026. December 16, 2020 11:05 AM Eastern 
Standard Time.",16 Dec 2020
Petrobras Announces Commencement Of Cash Tender Offers ...,"Holders of Notes who (1) validly tender and do not validly withdraw their 
Notes on or prior to the Expiration Date or (2) deliver a properly 
completed and ...",10 Sep 2020
The Coca-Cola Company Announces Debt Tender Offers,"Upon the terms and subject to the conditions set forth in the Tender Offer 
Documents, Holders who (i) validly tender Notes at or prior to the 
Expiration Date ( ...",14 Sep 2020
The Dow Chemical Company Announces Tender Offer for ...,"Each Tender Offer is open to all registered holders of such series of Notes 
(individually, a “Holder” and collectively, the “Holders”).",17 Aug 2020
MVB Financial Corp. Announces Final Results of Tender Offer,"Computershare Trust Company, N.A. will promptly issue payment for the 
shares of MVB common stock validly tendered and accepted for purchase in 
the tender offer.",23 Dec 2020
Boise Cascade Company Announces Results of Tender Offer,"The consideration paid under the Tender Offer was $1,032.50 per $1,000 
principal amount of 2024 Notes, plus accrued and unpaid interest, if any, 
up to, but not ...",27 Jul 2020
Only solar wins in Germany's latest renewable power tender ...,"Only solar projects won in Germany's latest combined wind and solar tender 
for 200MW of capacity as no bids were made for wind projects, the 
country's ...",20 May 2020
CORRECTING and REPLACING Pioneer Natural Resources ...,"PIONEER NATURAL RESOURCES COMPANY ANNOUNCES CONDITIONAL CASH TENDER OFFERS 
FOR 5.625% SENIOR NOTES DUE 2027 AND 4.125% SENIOR NOTES DUE 2028 OF 
PARSLEY ENERGY, ...",30 Dec 2020
Khusela Diko takes leave after R125m PPE tender scandal ...,"This comes after reports in the Sunday Independent that Diko's husband, 
Amabhaca King Madzikane II Thandisizwe Diko, had been awarded tenders to 
the tune of ...",27 Jul 2020
ReNew Power Wins SECI's 400 MW Round-The-Clock ...,"The Solar Energy Corporation of India (SECI) has announced the winner of 
its tender for 400 MW of renewable power on a round-the-clock (RTC) basis.",8 May 2020
Western Asset High Income Fund II Inc. Announces Plan for ...,"The tender offer will not expire prior to November 13, 2020, or such later 
date as determined by the Fund's board of directors. The Fund will 
repurchase Shares ...",22 Jun 2020
Roundup: RB Matt Breida signs 49ers 1-year tender,"Restricted free agent running back Matt Breida has signed his one-year 
tender, the team announced on Thursday afternoon. Breida was tendered a 
one-year ...",16 Apr 2020
Government announces request for tender for Army Protected Mobile Fires,"The request for tender will be released to preferred supplier Hanwha 
Defence Australia, to build and maintain 30 self-propelled howitzers and 15 
armoured ...",3 Sep 2020
Tallgrass Energy Partners Announces Expiration and Results ...,"According to Global Bondholder Services Corporation, the tender agent for 
the offer, valid tenders had been received at the expiration of the offer 
in the ...",22 Dec 2020
National Oilwell Varco Announces Results of Tender Offer for ...,"National Oilwell Varco Announces Results of Tender Offer for Any and All 
2.600% Senior Unsecured Notes Due 2022. August 26, 2020 08:30 AM Eastern 
Daylight Time.",26 Aug 2020
Keytone bags Coles private label powder tender,"Products under the tender include multiple powdered SKUs in various pack 
formats, flavors and sizes, and Keytone said the deal will lead to a A$5.2m 
(US$3.8m) ...",7 Dec 2020
